sample,copies,ct_value,type,target
ctrl_1.1,370100,20.37144279,Standard curve,Cyprinus carpio
ctrl_1.2,370100,20.39256668,Standard curve,Cyprinus carpio
ctrl_1.3,370100,20.11676216,Standard curve,Cyprinus carpio
ctrl_2.1,37010,23.86249161,Standard curve,Cyprinus carpio
ctrl_2.2,37010,23.87955666,Standard curve,Cyprinus carpio
ctrl_2.3,37010,24.15507507,Standard curve,Cyprinus carpio
ctrl_3.1,3701,28.88513756,Standard curve,Cyprinus carpio
ctrl_3.2,3701,28.82608032,Standard curve,Cyprinus carpio
ctrl_3.3,3701,29.20072365,Standard curve,Cyprinus carpio
ctrl_4.1,370.1,34.01539612,Standard curve,Cyprinus carpio
ctrl_4.2,370.1,33.36420059,Standard curve,Cyprinus carpio
ctrl_4.3,370.1,33.91478348,Standard curve,Cyprinus carpio
ctrl_5.1,37.01,39.04853821,Standard curve,Cyprinus carpio
ctrl_5.2,37.01,38.67362739,Standard curve,Cyprinus carpio
ctrl_5.3,37.01,38.47301838,Standard curve,Cyprinus carpio
Pond1_1.1,,34.05235672,Pond1_1,Cyprinus carpio
Pond1_1.2,,35.2603302,Pond1_1,Cyprinus carpio
Pond1_1.3,,35.18712234,Pond1_1,Cyprinus carpio
Pond1_2.1,,36.8222847,Pond1_2,Cyprinus carpio
Pond1_2.2,,38.54997635,Pond1_2,Cyprinus carpio
Pond1_2.3,,37.07709122,Pond1_2,Cyprinus carpio
Pond1_3.1,,34.96300507,Pond1_3,Cyprinus carpio
Pond1_3.2,,34.61761093,Pond1_3,Cyprinus carpio
Pond1_3.3,,35.6324501,Pond1_3,Cyprinus carpio
Pond2_1.1,,33.02475357,Pond2_1,Cyprinus carpio
Pond2_1.2,,33.69859695,Pond2_1,Cyprinus carpio
Pond2_1.3,,34.28405762,Pond2_1,Cyprinus carpio
Pond2_2.1,,31.23982239,Pond2_2,Cyprinus carpio
Pond2_2.2,,32.14668655,Pond2_2,Cyprinus carpio
Pond2_2.3,,32.9311409,Pond2_2,Cyprinus carpio
Pond2_3.1,,32.57250595,Pond2_3,Cyprinus carpio
Pond2_3.2,,33.13237,Pond2_3,Cyprinus carpio
Pond2_3.3,,32.48405457,Pond2_3,Cyprinus carpio
Pond3_1.1,,34.53942871,Pond3_1,Cyprinus carpio
Pond3_1.2,,35.13616562,Pond3_1,Cyprinus carpio
Pond3_1.3,,33.92547989,Pond3_1,Cyprinus carpio
Pond3_2.1,,32.44992828,Pond3_2,Cyprinus carpio
Pond3_2.2,,33.46625137,Pond3_2,Cyprinus carpio
Pond3_2.3,,33.15206909,Pond3_2,Cyprinus carpio
Pond3_3.1,,32.5381279,Pond3_3,Cyprinus carpio
Pond3_3.2,,32.15270233,Pond3_3,Cyprinus carpio
Pond3_3.3,,32.93099976,Pond3_3,Cyprinus carpio
Pond4_1.1,,35.32981873,Pond4_1,Cyprinus carpio
Pond4_1.2,,35.89404678,Pond4_1,Cyprinus carpio
Pond4_1.3,,35.75588226,Pond4_1,Cyprinus carpio
Pond4_2.1,,33.66784286,Pond4_2,Cyprinus carpio
Pond4_2.2,,34.11166382,Pond4_2,Cyprinus carpio
Pond4_2.3,,33.7710228,Pond4_2,Cyprinus carpio
Pond4_3.1,,33.55799484,Pond4_3,Cyprinus carpio
Pond4_3.2,,34.7990036,Pond4_3,Cyprinus carpio
Pond4_3.3,,34.93541336,Pond4_3,Cyprinus carpio
Pond5_1.1,,34.20781326,Pond5_1,Cyprinus carpio
Pond5_1.2,,33.74695206,Pond5_1,Cyprinus carpio
Pond5_1.3,,32.87480927,Pond5_1,Cyprinus carpio
Pond5_2.1,,33.88346481,Pond5_2,Cyprinus carpio
Pond5_2.2,,34.61537933,Pond5_2,Cyprinus carpio
Pond5_2.3,,33.94776917,Pond5_2,Cyprinus carpio
Pond5_3.1,,31.75869179,Pond5_3,Cyprinus carpio
Pond5_3.2,,32.6194458,Pond5_3,Cyprinus carpio
Pond5_3.3,,32.75891113,Pond5_3,Cyprinus carpio