,YCS01-LM,YCS01-LB,YCS01-MT,YCS01-MB,YCS01-RT,YCS01-RM,YCS01-RB,YCS02-LT,YCS02-RT,YCS03-LT,YCS03-RT,YCS04-RT,YCS05-LT,YCS05-RT,YCS06-LT,YCS06-RT,YCS07-LT,YCS07-RT,YCS08-LT,YCS09-RT,YCS10-LT,YCS10-RT,YCS11-LT,YCS12-RT,YCS13-MT,YCS13-MM,YCS13-MB,YCS13-RT,YCS13-RB,YCS14-LT,YCS14-RT,YCS15-RT,YCS16-LT,YCS16-LM,YCS16-LB,YCS16-MLT,YCS16-MLM,YCS16-MLB,YCS16-MRT,YCS16-MRM,YCS16-MRB,YCS16-RT,YCS16-RM,YCS16-RB,YCS17-LT,YCS17-RT,YCS18-LT,YCS18-RT,YCS19-LT,YCS19-LM,YCS19-LB,YCS19-MLT,YCS19-MLM,YCS19-MLB,YCS19-MRT,YCS19-MRM,YCS19-MRB,YCS19-RT,YCS19-RM,YCS19-RB,taxonomy
IPS1,1549,2646,2928,618,1183,2320,2670,1482,3429,2126,565,1491,5500,5683,4186,3585,4216,1849,943,1788,4376,3114,3742,1251,324,1524,501,1432,1168,696,1876,1194,5467,829,695,134,965,949,537,2833,3424,472,3279,2772,1437,1279,5369,3002,7960,6143,1415,1508,1508,1276,1411,2311,2562,11962,2419,2828,IPS1
IPS2.1,375,187,155,52,144,92,118,116,146,269,45,79,104,165,19,120,249,89,42,376,307,279,794,307,43,270,94,123,118,405,369,119,584,197,170,139,17,129,327,99,97,194,366,755,226,32,1693,73,202,72,178,228,83,183,150,427,123,209,615,595,IPS2.1
IPS2.2,369,1311,596,585,1588,570,603,500,1233,816,382,355,1061,3154,460,758,1049,187,372,2935,626,481,1916,2472,133,656,1042,1414,949,1525,1513,1034,2188,1645,1926,745,1368,462,609,1289,1537,1568,2597,994,1069,730,3025,1721,1279,1406,941,1245,1702,1452,3067,1413,3746,3649,4845,2754,IPS2.2
IPS2.3,1531,1848,2201,1014,1825,2024,1614,1030,2923,932,442,808,2321,4192,2875,1326,2253,462,801,3381,1253,1343,3155,4012,495,958,2687,3854,1919,1756,3423,3980,8328,3137,3283,1522,1234,1290,2029,3883,6731,1440,5548,2327,2614,1962,7188,2596,1900,2711,1588,2502,1590,1519,4319,3805,7144,5582,8591,6870,IPS2.3
OTU_1,3,0,0,0,0,19,0,2,0,0,0,0,0,0,3,0,0,0,3,0,1,0,30,10,1,12,0,0,0,8,6,0,23,0,0,1,0,0,0,4,31,7,0,22,3,21,0,0,0,0,1,0,0,26,0,2,0,1,0,5,Eukaryota|Chordata|Actinopteri|Acipenseriformes|Acipenseridae|Huso|Huso dauricus
OTU_2,8,64,21,0,0,1,83,19,61,3,62,1,3,5,1,5,17,10,15,3,7,5,0,94,0,1,21,47,15,9,3,29,47,4,0,33,1,343,0,31,25,10,32,1,2,13,2,2,32,61,109,0,204,27,86,279,46,503,1,98,Eukaryota|Chordata|Actinopteri|Anabantiformes|Channidae|Channa|Channa argus
OTU_3,0,0,0,0,0,0,0,2,1,0,13,9,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,38,0,0,0,Eukaryota|Chordata|Actinopteri|Anguilliformes|Anguillidae|Anguilla|Anguilla japonica
OTU_4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Beloniformes|Adrianichthyidae|Oryzias|Oryzias latipes
OTU_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,22,0,0,0,0,3,0,48,0,0,Eukaryota|Chordata|Actinopteri|Centrarchiformes|Centrarchidae|Micropterus|Micropterus salmoides
OTU_6,0,0,0,0,0,0,0,0,0,0,0,45,109,83,0,49,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,1,7,63,0,Eukaryota|Chordata|Actinopteri|Centrarchiformes|Sinipercidae|Siniperca|Siniperca chuatsi
OTU_7,116,80,306,84,47,49,118,95,53,218,54,32,123,41,83,51,63,31,243,13,3,10,193,36,2,2,1,2,7,278,38,883,391,211,13,108,5,5,0,24,135,31,58,29,21,32,46,115,46,251,17,13,114,113,425,347,1491,574,87,391,Eukaryota|Chordata|Actinopteri|Clupeiformes|Engraulidae|Coilia|Coilia nasus
OTU_8,0,3,1,0,0,0,42,10,1,1,0,0,2,2,2,10,6,1,3,0,2,0,61,52,0,0,0,0,0,1,0,70,0,3,3,9,0,1,1,0,1,5,51,0,1,0,0,1,2,0,1,0,1,0,51,81,117,69,38,7,Eukaryota|Chordata|Actinopteri|Cypriniformes|Acheilognathidae|Acheilognathus|Acheilognathus chankaensis
OTU_9,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,3,0,4,0,1,0,2,0,0,0,0,0,12,0,0,0,2,0,0,1,0,0,0,50,12,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Acheilognathidae|Acheilognathus|Acheilognathus hypselonotus
OTU_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Acheilognathidae|Rhodeus|Rhodeus ocellatus
OTU_11,22,18,0,0,0,0,25,0,0,0,17,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Cobitidae|Misgurnus|Misgurnus bipartitus
OTU_12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,38,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Cobitidae|Misgurnus|Misgurnus anguillicaudatus
OTU_13,40,2,0,2,0,0,43,1,44,18,31,19,4,7,16,13,8,25,9,0,4,27,7,0,0,0,1,23,3,0,15,3,88,20,1,0,1,219,0,0,2,1,2,0,0,33,1,1,18,68,82,0,96,52,2,332,18,427,9,64,Eukaryota|Chordata|Actinopteri|Cypriniformes|Cobitidae|Paramisgurnus|Paramisgurnus dabryanus
OTU_14,0,0,1,0,0,4,0,1,2,19,0,0,25,0,2,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,18,2,0,2,0,0,45,227,91,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Cyprinidae|Acrossocheilus|Acrossocheilus wenchowensis
OTU_15,57,18,33,43,13,97,128,81,86,156,83,35,81,69,17,49,29,20,80,37,16,5,25,127,0,21,9,64,45,101,225,652,171,101,2,42,8,288,1,45,68,348,34,6,4,61,9,54,74,199,44,0,117,120,83,501,701,567,394,213,Eukaryota|Chordata|Actinopteri|Cypriniformes|Cyprinidae|Carassius|Carassius auratus
OTU_16,102,15,10,29,34,15,32,44,151,36,51,7,408,66,44,32,42,58,21,3,15,42,101,78,6,0,3,67,77,67,122,86,347,67,1,0,0,2,2,67,86,42,22,18,0,121,1,22,19,134,7,3,71,17,197,15,241,135,49,1,Eukaryota|Chordata|Actinopteri|Cypriniformes|Cyprinidae|Cyprinus|Cyprinus carpio
OTU_17,3,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,13,0,0,0,6,0,0,0,0,0,8,0,0,0,9,1,0,46,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Danionidae|Danio|Danio rerio
OTU_18,0,0,0,0,0,1,0,0,0,0,6,0,0,3,1,1,0,0,0,0,0,1,2,0,0,1,0,6,0,19,0,23,0,1,0,3,1,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,0,55,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Gastromyzontidae|Vanmanenia|Vanmanenia stenosoma
OTU_19,1,0,2,0,0,0,10,3,0,10,0,0,18,1,1,2,1,0,4,0,0,0,0,6,0,0,0,0,0,75,0,29,0,41,0,10,1,0,0,1,6,0,1,0,0,1,0,1,2,3,0,2,0,1,0,0,199,36,17,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Gobionidae|Abbottina|Abbottina rivularis
OTU_20,2,1,0,0,0,0,0,0,33,0,0,0,0,5,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1,1,0,0,0,26,0,138,0,0,1,Eukaryota|Chordata|Actinopteri|Cypriniformes|Gobionidae|Hemibarbus|Hemibarbus medius
OTU_21,0,1,0,0,6,12,19,2,8,1,2,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,7,0,38,0,1,46,1,0,15,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Gobionidae|Pseudorasbora|Pseudorasbora parva
OTU_22,0,0,28,0,0,34,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Gobionidae|Rhinogobio|Rhinogobio cylindricus
OTU_23,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,37,48,1,0,0,0,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,0,12,0,5,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Gobionidae|Sarcocheilichthys|Sarcocheilichthys parvus
OTU_24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,11,25,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Chanodichthys|Chanodichthys dabryi
OTU_25,39,32,77,4,367,32,48,16,23,3,45,8,43,84,14,191,85,120,18,12,36,19,10,9,11,0,1,3,2,25,37,115,92,2,15,22,0,351,0,3,65,1,7,1,0,9,45,0,28,55,48,1,5,3,2,70,253,366,0,6,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Ctenopharyngodon|Ctenopharyngodon idella
OTU_26,569,364,1100,39,1141,87,264,288,4513,403,221,136,826,1293,323,1201,1650,440,88,178,263,155,138,3,1,0,0,0,3,139,2,47,35,0,0,63,2,20,0,3,25,12,22,2,0,3,2,2,12,36,19,15,5,0,10,80,423,177,0,3,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Culter|Culter alburnus
OTU_27,1,1,4,0,0,0,14,15,4,10,1,0,0,24,30,26,6,5,4,0,1,11,0,0,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,4,59,0,15,0,0,21,9,0,1,7,0,1,1,0,0,10,60,153,0,2,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Elopichthys|Elopichthys bambusa
OTU_28,1,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,39,0,30,0,2,0,0,0,0,0,31,17,25,6,0,0,0,0,0,4,42,1,0,0,10,10,9,2,3,0,55,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Hemiculter|Hemiculter leucisculus
OTU_29,114,6,104,122,57,28,165,84,288,157,92,40,177,167,109,263,124,92,163,65,15,49,158,105,3,5,4,69,60,424,180,854,440,241,68,184,12,353,0,90,192,54,173,3,3,99,2,101,110,184,86,67,139,100,238,281,2127,717,94,206,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Hypophthalmichthys|Hypophthalmichthys nobilis
OTU_30,1,0,15,0,13,24,9,0,34,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,9,7,0,1,0,0,0,0,0,2,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Megalobrama|Megalobrama terminalis
OTU_31,1,0,2,0,2,0,1,0,1,0,0,0,0,2,0,17,13,0,1,1,0,1,0,2,1,0,12,1,37,10,4,7,19,20,2,0,6,5,2,3,10,1,89,8,15,38,39,31,236,1465,10574,69,828,57,168,644,2571,1084,211,451,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Megalobrama|Megalobrama amblycephala
OTU_32,51,0,52,9,20,1,48,2,2,6,0,1,8,55,23,7,35,32,21,0,1,28,2,2,0,0,0,54,40,29,65,98,20,8,1,1,0,3,38,109,372,19,67,5,0,18,3,36,40,26,34,4,64,15,1,66,114,423,2,3,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Mylopharyngodon|Mylopharyngodon piceus
OTU_33,1,0,0,0,1,43,29,37,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,56,0,1,2,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Cyprinidae|Erythroculter?|Erythroculter mongolicus
OTU_34,7,0,22,1,6,1,12,11,18,0,13,2,1,8,1,28,1,9,11,0,0,16,79,3,11,0,4,0,7,1,10,60,2,19,0,15,0,1,0,2,47,74,17,0,0,43,0,0,35,49,34,0,10,20,3,97,26,157,0,15,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Pseudohemiculter|Pseudohemiculter dispar
OTU_35,0,7,0,0,14,0,0,2,7,8,0,2,0,1,0,2,0,0,3,0,25,0,1,0,0,0,0,0,0,39,3,57,42,0,1,0,0,0,0,0,4,34,0,0,1,1,0,0,1,5,0,4,13,17,1,0,69,3,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Chanodichthys|Chanodichthys erythropterus
OTU_36,5,32,0,6,1,37,3,5,3,19,11,8,138,65,32,53,51,25,0,0,3,15,0,1,0,0,0,0,19,1,149,0,50,29,0,29,0,0,0,59,97,2,37,0,0,13,0,0,7,3,10,0,8,9,0,60,140,14,37,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Parabramis|Parabramis pekinensis
OTU_37,1,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,27,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,26,0,0,15,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Zacco|Zacco platypus
OTU_38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,62,1,1,2,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Xenocypris|Xenocypris fangi
OTU_39,12,0,0,2,4,48,0,0,2,1,0,0,31,1,27,1,4,0,10,1,0,0,22,0,0,0,2,0,3,0,0,0,0,0,1,0,0,1,1,2,34,3,1,0,0,8,0,0,20,1,0,0,0,1,0,18,144,16,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Opsariichthys|Opsariichthys acutipinnis
