,YCS01-LM,YCS01-LB,YCS01-MT,YCS01-MB,YCS01-RT,YCS01-RM,YCS01-RB,YCS02-LT,YCS02-RT,YCS03-LT,YCS03-RT,YCS04-RT,YCS05-LT,YCS05-RT,YCS06-LT,YCS06-RT,YCS07-LT,YCS07-RT,YCS08-LT,YCS09-RT,YCS10-LT,YCS10-RT,YCS11-LT,YCS12-RT,YCS13-MT,YCS13-MM,YCS13-MB,YCS13-RT,YCS13-RB,YCS14-LT,YCS14-RT,YCS15-RT,YCS16-LT,YCS16-LM,YCS16-LB,YCS16-MLT,YCS16-MLM,YCS16-MLB,YCS16-MRT,YCS16-MRM,YCS16-MRB,YCS16-RT,YCS16-RM,YCS16-RB,YCS17-LT,YCS17-RT,YCS18-LT,YCS18-RT,YCS19-LT,YCS19-LM,YCS19-LB,YCS19-MLT,YCS19-MLM,YCS19-MLB,YCS19-MRT,YCS19-MRM,YCS19-MRB,YCS19-RT,YCS19-RM,YCS19-RB,taxonomy
OTU_40,7,48,1,1,6,5,1,0,3,0,0,13,0,11,1,7,9,11,0,46,2,29,2,0,0,0,0,1,3,59,1,14,171,1,29,41,0,0,0,0,30,1,15,0,5,4,2,14,9,48,9,7,9,0,31,83,462,78,34,2,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Pseudobrama|Pseudobrama simoni
OTU_41,29,0,0,0,0,6,9,2,4,0,0,17,0,31,6,3,1,1,0,0,57,13,0,0,0,0,0,0,1,26,8,96,1,24,0,0,0,0,0,0,5,3,13,0,0,3,0,33,1,0,0,0,0,0,57,30,80,51,0,1,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Pseudolaubuca|Pseudolaubuca engraulis
OTU_42,0,0,0,0,0,0,0,0,24,0,1,0,1,7,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,9,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Squaliobarbus|Squaliobarbus curriculus
OTU_43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,18,0,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Toxabramis|Toxabramis swinhonis
OTU_44,4,0,0,0,0,0,0,0,0,0,1,1,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Xenocypris|Xenocypris yunnanensis
OTU_45,16,0,0,0,0,0,0,6,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,127,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Mugilogobius|Mugilogobius myxodermus
OTU_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,40,1,0,1,38,0,0,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Taenioides|Taenioides sp. XM-2018
OTU_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,98,5,18,43,0,0,1,2,0,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Odontamblyopus|Odontamblyopus lacepedii
OTU_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,17,0,0,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Rhinogobius|Rhinogobius brunneus
OTU_49,14,2,1,0,10,101,12,1,29,69,4,9,59,7,1,14,16,10,18,2,4,22,3,42,0,0,1,1,10,307,15,266,67,1,1,59,1,3,0,12,87,12,63,3,0,10,4,41,2,41,16,24,2,2,106,54,801,96,25,2,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Rhinogobius|Rhinogobius similis
OTU_50,2,0,1,0,0,0,17,0,0,1,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Tridentiger|Tridentiger trigonocephalus
OTU_51,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,16,23,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Odontobutidae|Micropercops|Micropercops swinhonis
OTU_52,2,17,1,0,0,5,3,4,3,0,0,4,66,3,3,19,1,5,7,1,0,20,10,1,0,2,0,0,0,28,0,23,73,0,1,0,1,1,0,38,7,3,3,0,1,42,0,4,0,55,51,0,11,1,0,167,282,16,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Odontobutidae|Odontobutis|Odontobutis potamophila
OTU_53,4,4,0,0,6,0,0,0,0,0,1,3,28,6,0,14,2,1,1,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,91,11,12,0,0,14,0,1,0,0,0,0,0,29,0,1,0,Eukaryota|Chordata|Actinopteri|Mugiliformes|Mugilidae|Mugil|Mugil cephalus
OTU_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,28,0,0,1,0,1,0,39,0,0,Eukaryota|Chordata|Actinopteri|Mugiliformes|Mugilidae|Planiliza|Planiliza haematocheilus
OTU_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,84,121,0,3,3,0,Eukaryota|Chordata|Actinopteri|Perciformes|Sciaenidae|Collichthys|Collichthys lucidus
OTU_56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,66,15,0,0,Eukaryota|Chordata|Actinopteri|Perciformes|Sciaenidae|Miichthys|Miichthys miiuy
OTU_57,0,1,0,0,0,0,15,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Perciformes|Sciaenidae|Larimichthys|Larimichthys polyactis
OTU_58,0,0,0,0,0,0,0,39,0,1,0,0,3,0,0,1,0,0,1,0,0,3,0,0,0,0,2,15,0,0,0,37,1,0,0,0,0,0,0,14,30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Osmeriformes|Salangidae|Neosalanx|Neosalanx taihuensis
OTU_59,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,7,0,1,0,0,40,Eukaryota|Chordata|Actinopteri|Osmeriformes|Salangidae|Protosalanx|Protosalanx chinensis
OTU_60,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,29,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,40,34,2,3,69,0,0,4,0,1,2,0,0,5,0,0,30,30,269,0,1,Eukaryota|Chordata|Actinopteri|Acropomatiformes|Lateolabracidae|Lateolabrax|Lateolabrax maculatus
OTU_61,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,1,0,12,0,0,0,0,0,0,4,0,86,21,0,1,0,0,0,0,0,13,0,0,29,17,0,0,0,0,0,0,0,0,0,0,0,54,0,1,0,0,Eukaryota|Chordata|Actinopteri|Pleuronectiformes|Cynoglossidae|Cynoglossus|Cynoglossus gracilis
OTU_62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,49,0,0,111,0,0,1,0,28,0,1,1,57,111,0,0,0,0,0,0,0,0,2,1,0,0,Eukaryota|Chordata|Actinopteri|Scombriformes|Scombridae|Scomberomorus|Scomberomorus niphonius
OTU_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,38,3,0,Eukaryota|Chordata|Actinopteri|Scombriformes|Stromateidae|Pampus|Pampus argenteus
OTU_64,447,571,602,167,197,344,2424,644,1600,494,1926,14840,50462,115584,6776,63384,45318,3862,3275,4269,5638,3699,2319,348,3,56,46,58,103,45,165,1835,306,535,60,30,21,83,13,140,331,729,209,33,7,23,106,43,34,237,119,78,111,183,44,122,151,184,19,169,Eukaryota|Chordata|Actinopteri|Siluriformes|Bagridae|Leiocassis|Leiocassis longirostris
OTU_65,0,0,15,0,1,0,0,3,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,6,18,40,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,36,Eukaryota|Chordata|Actinopteri|Siluriformes|Bagridae|Tachysurus|Tachysurus fulvidraco
OTU_66,0,0,0,1,0,0,0,0,0,0,1,0,76,68,27,32,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Siluriformes|Bagridae|Tachysurus|Tachysurus argentivittatus
OTU_67,504,1205,1567,127,535,42,368,302,11968,1006,589,209,1022,2345,276,602,908,188,113,39,150,379,121,0,0,0,3,1,2,0,15,22,19,1,1,0,0,1,0,5,1,66,1,0,0,1,1,22,0,1,2,0,0,0,0,30,1,1,0,0,Eukaryota|Chordata|Actinopteri|Siluriformes|Bagridae|Tachysurus|Tachysurus eupogon
OTU_68,2,0,0,0,0,0,21,0,19,4,0,6,7,95,3,49,11,5,16,1,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,14,0,2,4,27,5,0,79,0,0,0,27,11,0,0,0,0,3,3,0,Eukaryota|Chordata|Actinopteri|Siluriformes|Bagridae|Tachysurus|Tachysurus nitidus
OTU_69,0,0,6,0,18,73,0,0,0,0,0,0,4,1,0,4,7,21,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,53,Eukaryota|Chordata|Actinopteri|Siluriformes|Siluridae|Silurus|Silurus meridionalis
OTU_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,69,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,16,0,0,1,0,77,0,0,Eukaryota|Chordata|Actinopteri|Synbranchiformes|Mastacembelidae|Sinobdella|Sinobdella sinensis
OTU_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,2,1,0,87,0,Eukaryota|Chordata|Amphibia|Anura|Ranidae|Rana|Rana longicrus
OTU_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Amphibia|Anura|Bufonidae|Bufo|Bufo gargarizans
OTU_74,0,0,20,0,1,0,0,0,7,0,0,0,6,1,15,1,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,1,0,0,106,1,0,0,244,0,13,91,0,3,0,0,0,0,65,1,8,0,Eukaryota|Chordata|Aves|Anseriformes|Anatidae|Anser|Anser cygnoides
OTU_76,10,29,0,12,0,13,4,1,2,31,5,3,10,6,0,11,10,4,0,5,1,56,9,21,0,1,1,0,1,46,0,4,100,21,0,81,0,1,0,0,7,3,34,0,12,59,0,19,1,10,3,12,5,2,18,79,127,7,0,0,Eukaryota|Chordata|Aves|Anseriformes|Anatidae|Anas|Anas platyrhynchos
OTU_83,24,355,20,2,0,58,161,7,52,16,1,1,92,75,2,30,19,17,16,17,0,3,2,2,3,74,3,3,638,32,1,58,12,17,3,13,12,112,5,22,29,16,49,10,0,41,1,29,5,99,277,1,23,1,26,52,254,128,89,76,Eukaryota|Chordata|Aves|Galliformes|Phasianidae|Gallus|Gallus gallus
OTU_96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,2,11,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,89,4,0,0,Eukaryota|Chordata|Mammalia|Carnivora|Mustelidae|Melogale|Melogale moschata
OTU_98,5,15,21,0,13,0,9,0,10,2,0,1,1,51,4,18,45,6,3,58,48,12,48,0,0,0,11,0,9,1,13,1,0,0,1,0,0,0,1,1,31,0,1,0,11,9,1,0,2,4,6,7,0,0,0,0,0,32,1,1,Eukaryota|Chordata|Mammalia|Artiodactyla|Phocoenidae|Neophocaena|Neophocaena asiaeorientalis
OTU_99,18,0,2,0,4,2,5,13,5,12,13,10,23,5,0,1,5,3,0,0,0,13,2,3,0,0,0,54,1,0,7,20,2,1,20,0,6,2,0,0,23,0,25,1,0,23,0,24,1,16,34,0,3,2,26,85,73,69,0,59,Eukaryota|Chordata|Mammalia|Artiodactyla|Bovidae|Bos|Bos taurus
OTU_101,0,5,1,0,9,3,3,0,0,7,0,0,3,29,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,29,0,5,10,1,1,0,0,0,2,0,0,0,0,1,0,0,0,Eukaryota|Chordata|Mammalia|Primates|Hominidae|Pan|Pan troglodytes
OTU_103,40,29,148,7,2,14,57,11,7,31,12,10,25,69,306,44,133,15,8,37,40,21,173,31,1,2,10,26,37,86,0,172,111,48,28,12,50,26,1,35,74,32,45,14,1,36,9,17,17,692,1510,85,329,82,28,440,1729,496,176,170,Eukaryota|Chordata|Mammalia|Artiodactyla|Suidae|Sus|Sus scrofa
OTU_107,5397,4997,3679,825,2568,23551,3698,800,6310,12353,1326,623,6674,7377,2744,4236,4010,4609,3185,11501,4120,2929,13905,1450,113,964,1060,571,19637,2177,949,8638,7244,3159,1461,727,1282,3993,555,7840,4436,1490,22657,3960,3894,8567,4656,3461,5504,15444,1448,3570,2547,1208,4563,3433,8714,8364,1396,1101,Eukaryota|Chordata|Mammalia|Primates|Hominidae|Homo|Homo sapiens
OTU_113,116,30,12,14,23,2,56,3,28,2,17,12,21,21,5,5,14,5,7,3,9,31,79,10,6,21,11,66,0,20,0,3,96,1,2,0,4,6,1,7,14,5,49,0,2,9,0,0,7,13,6,0,2,11,69,42,12,89,1,11,Eukaryota|Chordata|Mammalia|Artiodactyla|Bovidae|Bos|Bos taurus
OTU_115,9,0,0,0,1,2,14,0,76,0,2,2,1,214,27,0,8,9,0,143,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota|Chordata|Mammalia|Rodentia|Muridae|Mus|Mus musculus
OTU_118,5,8,0,1,0,2,2,1,1,8,1,0,22,18,0,1,1,2,0,0,14,0,30,4,0,0,1,0,1,0,3,0,0,3,0,0,0,5,0,14,3,0,45,1,0,2,1,22,5,15,3,1,0,0,0,2,1,11,0,18,Eukaryota|Chordata|Mammalia|Primates|Hominidae|Homo|Homo sapiens
OTU_122,3,0,21,0,0,6,11,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,2,43,0,0,1,0,1,0,1,6,7,0,1,0,0,1,0,0,10,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,Eukaryota|Chordata|Mammalia|Carnivora|Canidae|Canis|Canis lupus
OTU_124,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,1,0,68,0,25,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,Eukaryota|Chordata|Mammalia|Artiodactyla|Bovidae|Ovis|Ovis aries
OTU_126,0,0,3,0,0,3,1,0,0,12,1,0,0,1,0,1,5,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,13,0,0,Eukaryota|Mollusca|Gastropoda|Cerithioidea|Semisulcospiridae|Semisulcospira|Semisulcospira libertina
OTU_128,6,0,0,3,1,2,5,3,0,0,0,7,13,1,1,8,7,0,0,5,2,2,0,2,0,0,1,0,2,13,0,57,2,0,0,16,0,0,0,13,8,0,2,0,0,4,2,0,0,30,33,0,8,0,11,11,71,65,0,0,Eukaryota|Mollusca|Gastropoda|Cerithioidea|Semisulcospiridae|Semisulcospira|Semisulcospira libertina